phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000,128,128,65536,DGEMM,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,2.007675e-11,
-1.000000,128,128,65536,OS1-7,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,1.159460e-12,
-1.000000,128,128,65536,OS1-11,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,6.097566e-13,
-1.000000,128,128,65536,OS2-i8-fast,8.863892e-02,7.832080e-03,2.998882e-04,2.218861e-05,1.908318e-06,1.042124e-07,1.676978e-08,7.624018e-10,1.068958e-10,8.576914e-12,1.281011e-12,1.230045e-12,
-1.000000,128,128,65536,OS2-i8-accu,3.008161e-05,3.742977e-06,1.042123e-07,1.676987e-08,7.620246e-10,8.062311e-11,6.167387e-12,1.345410e-13,1.813136e-15,2.169082e-16,2.089729e-16,2.115848e-16,
-1.000000,128,128,65536,OS2-f8-fast,1.402483e-03,3.008161e-05,1.908318e-06,8.291077e-08,3.306117e-09,2.003788e-10,1.499408e-11,5.038254e-12,1.242775e-11,6.052708e-12,3.587938e-12,8.424430e-12,
-1.000000,128,128,65536,OS2-f8-accu,4.590415e-07,1.676987e-08,7.620244e-10,3.514492e-11,1.756611e-12,1.004872e-14,3.335800e-16,2.050154e-16,2.115848e-16,2.136213e-16,2.090407e-16,2.109518e-16,
0.000000,128,128,1024,DGEMM,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,1.847197e-11,
0.000000,128,128,1024,OS1-7,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,3.769671e-12,
0.000000,128,128,1024,OS1-11,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,3.107244e-16,
0.000000,128,128,1024,OS2-i8-fast,9.672776e-05,2.672281e-06,1.494628e-07,1.002327e-07,1.508826e-09,9.493422e-11,1.790451e-11,2.138196e-16,2.095950e-16,2.108369e-16,2.124225e-16,2.142847e-16,
0.000000,128,128,1024,OS2-i8-accu,2.672281e-06,1.494628e-07,6.018823e-08,5.261123e-09,3.337016e-10,4.160460e-11,2.109619e-16,2.129546e-16,2.117561e-16,2.133084e-16,2.182554e-16,2.137195e-16,
0.000000,128,128,1024,OS2-f8-fast,1.389746e-06,1.002327e-07,1.508826e-09,5.138065e-11,6.245873e-12,2.159193e-16,2.094759e-16,2.119321e-16,2.184585e-16,2.127488e-16,2.159193e-16,2.159193e-16,
0.000000,128,128,1024,OS2-f8-accu,4.959695e-08,5.261123e-09,3.337014e-10,1.790469e-11,2.159193e-16,2.121263e-16,2.060992e-16,2.142847e-16,2.136588e-16,2.157116e-16,2.118355e-16,2.113834e-16,
0.000000,128,128,2048,DGEMM,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,1.503366e-12,
0.000000,128,128,2048,OS1-7,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,4.365702e-12,
0.000000,128,128,2048,OS1-11,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,2.936877e-16,
0.000000,128,128,2048,OS2-i8-fast,1.061535e-04,1.783973e-05,5.493070e-07,3.520910e-08,3.624485e-09,5.289905e-10,8.689067e-12,2.142037e-16,2.125454e-16,2.166515e-16,2.107397e-16,2.136493e-16,
0.000000,128,128,2048,OS2-i8-accu,1.783973e-05,5.493070e-07,3.520910e-08,3.624485e-09,5.289906e-10,8.688954e-12,2.177378e-16,2.180669e-16,2.107653e-16,2.178509e-16,2.103703e-16,2.123381e-16,
0.000000,128,128,2048,OS2-f8-fast,7.272937e-07,3.520910e-08,3.624485e-09,9.797653e-11,4.854540e-12,2.155083e-16,2.176016e-16,2.141859e-16,2.123895e-16,2.077243e-16,2.033601e-16,2.125239e-16,
