phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
0.000000,128,128,16384,OS2-i8-accu,8.204341e-05,6.002295e-06,1.915225e-07,5.108480e-08,7.672799e-10,5.963527e-11,8.251122e-12,2.092338e-16,2.168954e-16,2.114401e-16,2.135342e-16,2.142138e-16,
0.000000,128,128,16384,OS2-f8-fast,3.439161e-05,1.700715e-06,1.449265e-07,1.706394e-09,7.176463e-11,3.545597e-12,6.330054e-15,4.000764e-15,3.738932e-15,1.553698e-15,1.018182e-15,8.145485e-16,
0.000000,128,128,16384,OS2-f8-accu,2.025930e-07,7.939723e-08,7.672799e-10,5.963527e-11,2.162546e-16,2.083636e-16,2.165375e-16,2.184975e-16,2.183342e-16,2.168954e-16,2.116911e-16,2.167864e-16,
0.000000,128,128,32768,ZGEMM,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,7.664171e-11,
0.000000,128,128,32768,ZGEMM3m,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,1.951801e-10,
0.000000,128,128,32768,OS1-7,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,1.163381e-11,
0.000000,128,128,32768,OS1-11,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,2.780616e-12,
0.000000,128,128,32768,OS2-i8-fast,1.930989e-02,4.703417e-03,5.692780e-05,5.573097e-06,9.566564e-07,1.167508e-08,1.945449e-09,9.335566e-11,7.913787e-12,1.796526e-15,2.313470e-14,3.547450e-15,
0.000000,128,128,32768,OS2-i8-accu,1.144029e-04,1.102138e-05,7.055282e-07,1.783593e-07,1.245234e-08,1.152365e-09,3.503973e-11,2.118162e-16,2.162804e-16,2.112094e-16,2.108605e-16,2.166482e-16,
0.000000,128,128,32768,OS2-f8-fast,1.144029e-04,5.573097e-06,9.566564e-07,2.277548e-08,2.119627e-09,3.504029e-11,1.510252e-14,1.875830e-13,2.440294e-14,5.155049e-14,7.096274e-15,1.594801e-14,
0.000000,128,128,32768,OS2-f8-accu,8.215962e-06,1.783593e-07,1.245234e-08,9.335308e-11,7.915619e-12,2.140069e-16,2.185524e-16,2.162567e-16,2.174289e-16,2.088278e-16,2.154078e-16,2.133660e-16,
0.000000,128,128,65536,ZGEMM,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,1.898188e-11,
0.000000,128,128,65536,ZGEMM3m,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,1.289340e-11,
0.000000,128,128,65536,OS1-7,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,8.358123e-13,
0.000000,128,128,65536,OS1-11,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,1.076049e-12,
0.000000,128,128,65536,OS2-i8-fast,5.862086e-03,6.466737e-04,2.778272e-05,2.117248e-06,1.179729e-07,4.673692e-09,4.236258e-10,5.341004e-11,3.220020e-12,5.372858e-16,7.157551e-16,5.014527e-15,
0.000000,128,128,65536,OS2-i8-accu,4.728783e-05,3.408734e-06,3.698393e-07,1.664282e-08,8.011391e-10,5.341106e-11,4.848156e-12,2.169992e-16,2.204753e-16,2.188003e-16,2.128580e-16,2.117171e-16,
0.000000,128,128,65536,OS2-f8-fast,4.728783e-05,2.117248e-06,1.179729e-07,3.506733e-09,2.268005e-10,4.849509e-12,1.525414e-14,1.950454e-14,2.124334e-14,9.365856e-15,1.554279e-15,9.358292e-15,
0.000000,128,128,65536,OS2-f8-accu,7.142484e-07,4.388268e-08,8.011391e-10,5.341106e-11,1.240546e-12,2.134312e-16,2.136629e-16,2.124855e-16,2.155546e-16,2.196445e-16,2.150144e-16,2.173330e-16,
0.500000,128,128,1024,ZGEMM,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,3.007202e-11,
0.500000,128,128,1024,ZGEMM3m,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,9.589624e-11,
0.500000,128,128,1024,OS1-7,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,
0.500000,128,128,1024,OS1-11,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,
0.500000,128,128,1024,OS2-i8-fast,7.948544e-03,1.116360e-04,5.182414e-05,1.393747e-06,1.648908e-07,1.295921e-08,7.484307e-10,2.006074e-11,9.827656e-13,3.003216e-14,2.161381e-15,6.218676e-16,
