phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
0.000000,128,128,8192,BF16x9,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,2.058358e-02,
0.000000,128,128,8192,OS2-i8-fast,1.083948e+03,2.564440e+01,1.412095e+01,1.238046e-01,5.221935e-03,1.016971e-03,3.409267e-05,2.058654e-06,3.100382e-06,8.208082e-07,
0.000000,128,128,8192,OS2-i8-accu,1.083948e+03,2.564440e+01,1.412095e+01,1.238046e-01,5.221935e-03,1.016971e-03,3.409267e-05,1.390125e-07,3.100382e-06,8.208082e-07,
0.000000,128,128,8192,OS2-f8-fast,4.022256e+02,1.412095e+01,1.238046e-01,9.514204e-03,3.544329e-04,3.978295e-06,6.579733e-06,6.789117e-07,5.140002e-06,7.247112e-07,
0.000000,128,128,8192,OS2-f8-accu,4.022256e+02,1.412095e+01,1.238046e-01,9.514204e-03,3.544329e-04,3.978295e-06,6.579733e-06,6.789117e-07,5.140002e-06,7.247112e-07,
0.000000,128,128,16384,CGEMM,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,1.532659e-02,
0.000000,128,128,16384,BF16x9,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,6.483218e-03,
0.000000,128,128,16384,OS2-i8-fast,1.346265e+03,6.608174e+01,3.880610e+00,2.467485e-01,1.434763e-02,6.831530e-04,1.275467e-05,2.344607e-07,1.857905e-07,7.021269e-08,
0.000000,128,128,16384,OS2-i8-accu,1.346265e+03,6.608174e+01,3.880610e+00,2.467485e-01,1.434763e-02,6.831530e-04,1.275467e-05,2.344607e-07,1.857905e-07,7.021269e-08,
0.000000,128,128,16384,OS2-f8-fast,6.625709e+01,3.880610e+00,1.989310e-01,1.192895e-02,1.072753e-04,1.729147e-06,3.155488e-07,7.555140e-07,4.413664e-07,1.387669e-06,
0.000000,128,128,16384,OS2-f8-accu,6.625709e+01,3.880610e+00,1.989310e-01,1.192895e-02,1.072753e-04,1.729147e-06,3.155488e-07,7.555140e-07,4.413664e-07,1.387669e-06,
0.000000,128,128,32768,CGEMM,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,
