phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,2048,2048,2048,OS2-accu-10,7.57E-03,1.55E-10,1.61E+01,4.28E-03,5.26E-04,2.80E-03,6.46E-04,9.91E-05
5.00E-01,2048,2048,2048,OS2-accu-11,1.98E-05,9.67E-12,1.48E+01,4.63E-03,5.37E-04,3.08E-03,7.05E-04,1.04E-04
5.00E-01,2048,2048,2048,OS2-accu-12,3.20E-06,6.05E-13,1.37E+01,5.00E-03,5.52E-04,3.34E-03,7.82E-04,1.10E-04
5.00E-01,2048,2048,2048,OS2-accu-13,6.92E-07,6.65E-14,1.29E+01,5.35E-03,5.93E-04,3.60E-03,8.31E-04,1.14E-04
5.00E-01,2048,2048,2048,OS2-accu-14,1.70E-08,4.04E-15,1.20E+01,5.73E-03,6.16E-04,3.91E-03,8.82E-04,1.16E-04
5.00E-01,2048,2048,2048,OS2-accu-15,2.75E-09,1.77E-16,1.13E+01,6.10E-03,6.38E-04,4.18E-03,9.52E-04,1.23E-04
5.00E-01,2048,2048,2048,OS2-accu-16,3.73E-11,4.73E-17,1.07E+01,6.44E-03,6.56E-04,4.45E-03,1.00E-03,1.28E-04
5.00E-01,2048,2048,2048,OS2-accu-17,4.17E-12,4.55E-17,1.00E+01,6.87E-03,6.78E-04,4.76E-03,1.09E-03,1.33E-04
5.00E-01,2048,2048,2048,OS2-accu-18,3.17E-14,4.55E-17,9.51E+00,7.23E-03,6.97E-04,5.03E-03,1.16E-03,1.37E-04
5.00E-01,2048,2048,2048,OS2-accu-19,2.20E-16,4.55E-17,9.06E+00,7.58E-03,7.28E-04,5.29E-03,1.21E-03,1.40E-04
5.00E-01,2048,2048,2048,OS2-accu-20,2.21E-16,4.54E-17,8.60E+00,7.99E-03,7.46E-04,5.61E-03,1.28E-03,1.48E-04
5.00E-01,4096,4096,4096,INT8-GEMM,,,7.70E+02,1.78E-04,,,,
5.00E-01,4096,4096,4096,ZGEMMEx,1.28E-08,2.48E-15,8.29E+01,6.64E-03,,,,
5.00E-01,4096,4096,4096,ZGEMM,1.28E-08,2.48E-15,8.31E+01,6.62E-03,,,,
5.00E-01,4096,4096,4096,OS2-fast-2,7.23E+05,1.00E+00,2.67E+02,2.06E-03,4.60E-04,1.08E-03,1.76E-04,1.38E-04
5.00E-01,4096,4096,4096,OS2-fast-3,1.86E+06,1.54E-01,1.82E+02,3.03E-03,5.17E-04,1.87E-03,2.64E-04,1.56E-04
5.00E-01,4096,4096,4096,OS2-fast-4,2.87E+04,1.01E-02,1.43E+02,3.84E-03,5.78E-04,2.52E-03,3.57E-04,1.73E-04
5.00E-01,4096,4096,4096,OS2-fast-5,4.49E+03,6.35E-04,1.19E+02,4.60E-03,6.44E-04,3.13E-03,4.33E-04,1.89E-04
5.00E-01,4096,4096,4096,OS2-fast-6,4.40E+02,3.97E-05,1.01E+02,5.43E-03,7.07E-04,3.78E-03,5.30E-04,2.07E-04
5.00E-01,4096,4096,4096,OS2-fast-7,2.11E+01,2.48E-06,8.97E+01,6.13E-03,7.50E-04,4.34E-03,6.12E-04,2.22E-04
5.00E-01,4096,4096,4096,OS2-fast-8,5.74E-01,1.55E-07,7.92E+01,6.94E-03,8.06E-04,4.98E-03,7.09E-04,2.32E-04
