phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,8192,8192,8192,ZGEMM,9.51E-08,3.51E-15,3.67E+01,1.20E-01,,,,
5.00E-01,8192,8192,8192,ZGEMM3m,2.53E-07,3.60E-15,4.52E+01,9.74E-02,,,,
5.00E-01,8192,8192,8192,OS2-fast-2,7.32E+04,1.00E+00,1.24E+03,3.54E-03,1.10E-03,1.75E-03,2.84E-04,3.83E-04
5.00E-01,8192,8192,8192,OS2-fast-3,7.65E+06,3.00E-01,8.03E+02,5.48E-03,1.41E-03,3.03E-03,4.59E-04,5.49E-04
5.00E-01,8192,8192,8192,OS2-fast-4,5.09E+05,2.09E-02,6.10E+02,7.21E-03,1.66E-03,4.33E-03,6.43E-04,5.51E-04
5.00E-01,8192,8192,8192,OS2-fast-5,2.40E+04,1.31E-03,4.93E+02,8.93E-03,1.89E-03,5.52E-03,8.25E-04,6.68E-04
5.00E-01,8192,8192,8192,OS2-fast-6,2.40E+03,8.22E-05,4.08E+02,1.08E-02,2.17E-03,6.83E-03,1.00E-03,7.38E-04
5.00E-01,8192,8192,8192,OS2-fast-7,2.04E+02,5.13E-06,3.59E+02,1.22E-02,2.35E-03,7.83E-03,1.19E-03,8.33E-04
5.00E-01,8192,8192,8192,OS2-fast-8,7.47E+00,3.21E-07,3.16E+02,1.39E-02,2.55E-03,8.92E-03,1.36E-03,1.05E-03
5.00E-01,8192,8192,8192,OS2-fast-9,8.50E-01,2.01E-08,2.83E+02,1.55E-02,2.74E-03,1.01E-02,1.54E-03,1.15E-03
5.00E-01,8192,8192,8192,OS2-fast-10,5.12E-02,1.25E-09,2.55E+02,1.73E-02,2.99E-03,1.13E-02,1.71E-03,1.22E-03
5.00E-01,8192,8192,8192,OS2-fast-11,1.37E-03,7.83E-11,2.34E+02,1.88E-02,3.18E-03,1.23E-02,1.90E-03,1.31E-03
5.00E-01,8192,8192,8192,OS2-fast-12,1.41E-04,4.90E-12,2.18E+02,2.02E-02,3.38E-03,1.34E-02,2.06E-03,1.33E-03
5.00E-01,8192,8192,8192,OS2-fast-13,8.70E-06,3.06E-13,1.90E+02,2.31E-02,4.89E-03,1.45E-02,2.25E-03,1.44E-03
5.00E-01,8192,8192,8192,OS2-fast-14,7.19E-07,2.09E-14,1.77E+02,2.48E-02,5.25E-03,1.56E-02,2.42E-03,1.49E-03
5.00E-01,8192,8192,8192,OS2-fast-15,5.88E-08,2.27E-15,1.65E+02,2.67E-02,5.66E-03,1.68E-02,2.61E-03,1.61E-03
5.00E-01,8192,8192,8192,OS2-fast-16,3.15E-09,9.59E-17,1.55E+02,2.84E-02,6.00E-03,1.79E-02,2.78E-03,1.66E-03
5.00E-01,8192,8192,8192,OS2-fast-17,6.16E-11,4.62E-17,1.46E+02,3.01E-02,6.34E-03,1.90E-02,2.95E-03,1.79E-03
5.00E-01,8192,8192,8192,OS2-fast-18,6.43E-13,4.55E-17,1.39E+02,3.17E-02,6.72E-03,2.00E-02,3.07E-03,1.83E-03
5.00E-01,8192,8192,8192,OS2-fast-19,1.99E-14,4.55E-17,1.27E+02,3.47E-02,8.47E-03,2.10E-02,3.28E-03,1.93E-03
5.00E-01,8192,8192,8192,OS2-fast-20,2.09E-14,4.55E-17,1.21E+02,3.63E-02,8.85E-03,2.21E-02,3.43E-03,1.93E-03
5.00E-01,8192,8192,8192,OS2-accu-2,2.66E+07,8.24E-01,8.06E+02,5.46E-03,2.92E-03,1.81E-03,2.87E-04,4.12E-04
5.00E-01,8192,8192,8192,OS2-accu-3,2.07E+06,8.01E-02,5.86E+02,7.51E-03,3.34E-03,3.11E-03,4.65E-04,5.59E-04
5.00E-01,8192,8192,8192,OS2-accu-4,1.04E+05,5.14E-03,4.83E+02,9.10E-03,3.61E-03,4.27E-03,6.38E-04,5.45E-04
5.00E-01,8192,8192,8192,OS2-accu-5,7.25E+03,3.22E-04,4.10E+02,1.07E-02,3.85E-03,5.40E-03,8.09E-04,6.46E-04
5.00E-01,8192,8192,8192,OS2-accu-6,5.42E+02,2.01E-05,3.51E+02,1.25E-02,4.19E-03,6.60E-03,9.84E-04,7.15E-04
5.00E-01,8192,8192,8192,OS2-accu-7,2.42E+01,1.28E-06,3.12E+02,1.41E-02,4.40E-03,7.66E-03,1.18E-03,8.15E-04
5.00E-01,8192,8192,8192,OS2-accu-8,1.40E+00,8.02E-08,2.76E+02,1.59E-02,4.65E-03,8.83E-03,1.36E-03,1.04E-03
5.00E-01,8192,8192,8192,OS2-accu-9,2.61E-01,5.02E-09,2.50E+02,1.76E-02,4.89E-03,9.98E-03,1.53E-03,1.15E-03
5.00E-01,8192,8192,8192,OS2-accu-10,4.50E-03,3.14E-10,2.26E+02,1.95E-02,5.23E-03,1.13E-02,1.71E-03,1.23E-03
5.00E-01,8192,8192,8192,OS2-accu-11,5.81E-04,1.96E-11,2.12E+02,2.08E-02,5.34E-03,1.22E-02,1.88E-03,1.30E-03
5.00E-01,8192,8192,8192,OS2-accu-12,4.19E-05,1.23E-12,1.93E+02,2.28E-02,5.69E-03,1.36E-02,2.09E-03,1.35E-03
5.00E-01,8192,8192,8192,OS2-accu-13,5.90E-06,1.50E-13,1.75E+02,2.51E-02,7.04E-03,1.44E-02,2.22E-03,1.43E-03
