phi,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
5.000000e-01,1024,OS1-6,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,5.079299e-09,
5.000000e-01,1024,OS1-7,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,2.482334e-11,
5.000000e-01,1024,OS1-8,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,
5.000000e-01,1024,OS1-9,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,
5.000000e-01,1024,OS1-10,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,
5.000000e-01,1024,OS1-11,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,9.040114e-12,
5.000000e-01,1024,OS2-fast,1.116360e-04,3.464647e-05,1.753263e-06,2.581689e-08,1.049356e-08,1.111891e-09,2.006074e-11,1.563406e-12,1.754038e-14,2.147295e-16,2.180917e-16,2.130306e-16,
5.000000e-01,1024,OS2-accu,6.365180e-05,2.555976e-06,7.103840e-07,7.452185e-09,1.778175e-09,5.808247e-11,1.264471e-12,1.959754e-13,1.843042e-15,2.188927e-16,2.149400e-16,2.148113e-16,
1.000000e+00,1024,ZGEMM,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,1.098846e-11,
1.000000e+00,1024,ZGEMM3m,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,3.275751e-12,
