phi,m,n,k,function,TFLOPS,total_time[sec],quantization,low_prec_gemm,requantization,dequantization,
-1.000000e+00,16384,16384,16384,OS2-fast-13,7.788579e+00,1.129358e+00,1.092087e-01,8.856920e-01,6.882759e-02,6.567610e-02,
-1.000000e+00,16384,16384,16384,OS2-fast-14,7.241908e+00,1.214610e+00,1.152184e-01,9.553643e-01,7.409884e-02,7.002312e-02,
-1.000000e+00,16384,16384,16384,OS2-fast-15,6.769734e+00,1.299326e+00,1.219270e-01,1.022020e+00,7.952465e-02,7.594426e-02,
-1.000000e+00,16384,16384,16384,OS2-fast-16,6.351227e+00,1.384944e+00,1.298278e-01,1.090242e+00,8.524120e-02,7.975787e-02,
-1.000000e+00,16384,16384,16384,OS2-accu-12,7.696004e+00,1.142943e+00,2.009421e-01,8.168789e-01,6.390210e-02,6.159146e-02,
-1.000000e+00,16384,16384,16384,OS2-accu-13,7.136370e+00,1.232573e+00,2.075459e-01,8.900590e-01,6.925535e-02,6.548019e-02,
-1.000000e+00,16384,16384,16384,OS2-accu-14,6.652972e+00,1.322130e+00,2.145924e-01,9.628096e-01,7.456403e-02,6.995196e-02,
-1.000000e+00,16384,16384,16384,OS2-accu-15,6.210201e+00,1.416394e+00,2.232239e-01,1.034853e+00,7.988134e-02,7.717764e-02,
-1.000000e+00,16384,16384,16384,OS2-accu-16,5.847418e+00,1.504270e+00,2.292128e-01,1.108383e+00,8.519560e-02,8.069328e-02,
-1.000000e+00,16384,16384,16384,Oz1-6,4.514532e+00,1.948395e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-7,3.374842e+00,2.606372e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-8,2.316512e+00,3.797129e+00,,,,,
-1.000000e+00,16384,16384,16384,Oz1-9,1.842842e+00,4.773112e+00,,,,,
-1.000000e+00,32768,32768,32768,DGEMM,4.223366e-01,1.666177e+02,,,,,
-1.000000e+00,32768,32768,32768,OS2-fast-12,9.172758e+00,7.671492e+00,1.423878e+00,5.747980e+00,2.548261e-01,2.457351e-01,
-1.000000e+00,32768,32768,32768,OS2-fast-13,8.460456e+00,8.317370e+00,1.605781e+00,6.170995e+00,2.767512e-01,2.620536e-01,
-1.000000e+00,32768,32768,32768,OS2-fast-14,7.996201e+00,8.800272e+00,1.565237e+00,6.658170e+00,2.988398e-01,2.787168e-01,
-1.000000e+00,32768,32768,32768,OS2-fast-15,7.435007e+00,9.464517e+00,1.778407e+00,7.067906e+00,3.202042e-01,2.961007e-01,
-1.000000e+00,32768,32768,32768,OS2-fast-16,6.938437e+00,1.014187e+01,1.998149e+00,7.491004e+00,3.415193e-01,3.118572e-01,
-1.000000e+00,32768,32768,32768,OS2-accu-12,8.390058e+00,8.387158e+00,2.038975e+00,5.846479e+00,2.560823e-01,2.455901e-01,
-1.000000e+00,32768,32768,32768,OS2-accu-13,7.841086e+00,8.974362e+00,2.211878e+00,6.222895e+00,2.775529e-01,2.620473e-01,
-1.000000e+00,32768,32768,32768,OS2-accu-14,7.441635e+00,9.456087e+00,2.178726e+00,6.699365e+00,2.987364e-01,2.787242e-01,
-1.000000e+00,32768,32768,32768,OS2-accu-15,6.961394e+00,1.010843e+01,2.386495e+00,7.105691e+00,3.200509e-01,2.958111e-01,
-1.000000e+00,32768,32768,32768,OS2-accu-16,6.501398e+00,1.082363e+01,2.627378e+00,7.541906e+00,3.426933e-01,3.120175e-01,
-1.000000e+00,32768,32768,32768,Oz1-6,4.719692e+00,1.490961e+01,,,,,
-1.000000e+00,32768,32768,32768,Oz1-7,4.235622e+00,1.661355e+01,,,,,
-1.000000e+00,32768,32768,32768,Oz1-8,1.981934e+00,3.550509e+01,,,,,
-1.000000e+00,32768,32768,32768,Oz1-9,3.135383e+00,2.244343e+01,,,,,
