phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,16384,16384,16384,OS2-fast-3,1.398964e+08,3.048075e-01,8.302370e+02,6.053503e+02,
5.000000e-01,16384,16384,16384,OS2-fast-4,3.959345e+06,2.126716e-02,8.277972e+02,4.811527e+02,
5.000000e-01,16384,16384,16384,OS2-fast-5,2.754636e+05,1.338372e-03,8.287434e+02,3.859332e+02,
5.000000e-01,16384,16384,16384,OS2-fast-6,8.646795e+03,8.362070e-05,8.258622e+02,3.215132e+02,
5.000000e-01,16384,16384,16384,OS2-fast-7,9.232158e+02,5.164459e-06,8.254979e+02,2.762423e+02,
5.000000e-01,16384,16384,16384,OS2-fast-8,9.822478e+01,2.651294e-07,8.249634e+02,2.436929e+02,
5.000000e-01,16384,16384,16384,OS2-fast-9,1.463860e+00,2.282277e-08,8.283887e+02,2.141410e+02,
5.000000e-01,16384,16384,16384,OS2-fast-10,3.748178e-02,2.069785e-08,8.158074e+02,1.960221e+02,
5.000000e-01,16384,16384,16384,OS2-fast-11,1.104936e-01,2.081802e-08,8.129041e+02,1.788445e+02,
5.000000e-01,16384,16384,16384,OS2-fast-12,1.422417e-01,2.078799e-08,8.029382e+02,1.653550e+02,
5.000000e-01,16384,16384,16384,OS2-fast-13,1.899157e-01,2.078305e-08,8.013170e+02,1.527159e+02,
5.000000e-01,16384,16384,16384,OS2-fast-14,8.244778e-02,2.077058e-08,8.054881e+02,1.408993e+02,
5.000000e-01,16384,16384,16384,OS2-fast-15,9.280613e-02,2.073563e-08,7.974085e+02,1.323615e+02,
5.000000e-01,16384,16384,16384,OS2-accu-2,1.261515e+08,8.331079e-01,7.082046e+02,6.687604e+02,
5.000000e-01,16384,16384,16384,OS2-accu-3,2.269813e+07,8.170969e-02,8.213952e+02,4.664816e+02,
5.000000e-01,16384,16384,16384,OS2-accu-4,8.725861e+05,5.247705e-03,8.206430e+02,3.858317e+02,
5.000000e-01,16384,16384,16384,OS2-accu-5,3.356043e+04,3.284702e-04,8.248103e+02,3.219405e+02,
5.000000e-01,16384,16384,16384,OS2-accu-6,3.209479e+03,2.085532e-05,8.215878e+02,2.750051e+02,
5.000000e-01,16384,16384,16384,OS2-accu-7,2.006734e+02,1.242038e-06,8.205375e+02,2.404429e+02,
5.000000e-01,16384,16384,16384,OS2-accu-8,3.991536e+01,7.884846e-08,8.187821e+02,2.148550e+02,
5.000000e-01,16384,16384,16384,OS2-accu-9,1.978058e-01,2.114068e-08,8.202843e+02,1.932030e+02,
5.000000e-01,16384,16384,16384,OS2-accu-10,1.341685e-02,2.066512e-08,8.119283e+02,1.775906e+02,
5.000000e-01,16384,16384,16384,OS2-accu-11,4.128451e-03,2.066174e-08,8.001014e+02,1.643888e+02,
5.000000e-01,16384,16384,16384,OS2-accu-12,1.012517e-03,2.066090e-08,7.989785e+02,1.518427e+02,
5.000000e-01,16384,16384,16384,OS2-accu-13,7.816373e-03,2.066457e-08,8.023367e+02,1.403267e+02,
5.000000e-01,16384,16384,16384,OS2-accu-14,6.684849e-03,2.066383e-08,7.945107e+02,1.328419e+02,
5.000000e-01,16384,16384,16384,OS2-accu-15,2.415569e-03,2.066200e-08,7.983942e+02,1.235520e+02,
