phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,8192,8192,8192,OS2-fast-5,7.173670e+04,6.349124e-04,3.910714e+02,1.602409e+02,
5.000000e-01,8192,8192,8192,OS2-fast-6,1.813694e+03,3.968252e-05,3.939397e+02,1.354027e+02,
5.000000e-01,8192,8192,8192,OS2-fast-7,3.770145e+01,2.480499e-06,3.920426e+02,1.177896e+02,
5.000000e-01,8192,8192,8192,OS2-fast-8,1.831979e+00,1.550451e-07,3.913569e+02,1.039497e+02,
5.000000e-01,8192,8192,8192,OS2-fast-9,2.345488e-01,9.689169e-09,3.926386e+02,9.240862e+01,
5.000000e-01,8192,8192,8192,OS2-fast-10,3.347618e-02,6.057684e-10,3.850375e+02,8.481501e+01,
5.000000e-01,8192,8192,8192,OS2-fast-11,1.225704e-03,7.564630e-11,3.916343e+02,7.579879e+01,
5.000000e-01,8192,8192,8192,OS2-fast-12,9.153959e-05,4.730694e-12,3.901326e+02,7.045482e+01,
5.000000e-01,8192,8192,8192,OS2-fast-13,1.532687e-05,2.955693e-13,3.915317e+02,6.458710e+01,
5.000000e-01,8192,8192,8192,OS2-fast-14,9.680205e-07,1.835813e-14,3.910020e+02,6.006011e+01,
5.000000e-01,8192,8192,8192,OS2-fast-15,4.355111e-08,1.035779e-15,3.671879e+02,5.929197e+01,
5.000000e-01,8192,8192,8192,OS2-fast-16,2.170085e-09,6.103577e-17,3.902639e+02,5.247643e+01,
5.000000e-01,8192,8192,8192,OS2-fast-17,2.436457e-11,4.612440e-17,3.893979e+02,4.934270e+01,
5.000000e-01,8192,8192,8192,OS2-fast-18,3.123347e-13,4.547347e-17,3.862781e+02,4.697735e+01,
5.000000e-01,8192,8192,8192,OS2-fast-19,1.972960e-14,4.546473e-17,3.893139e+02,4.386975e+01,
5.000000e-01,8192,8192,8192,OS2-fast-20,1.136587e-14,4.545912e-17,3.714116e+02,4.396411e+01,
5.000000e-01,8192,8192,8192,OS2-accu-2,8.486622e+06,5.302203e-01,3.810130e+02,2.428362e+02,
5.000000e-01,8192,8192,8192,OS2-accu-3,8.892223e+05,4.109447e-02,3.897768e+02,1.861679e+02,
5.000000e-01,8192,8192,8192,OS2-accu-4,1.788172e+05,2.603757e-03,3.915382e+02,1.556862e+02,
5.000000e-01,8192,8192,8192,OS2-accu-5,6.779397e+03,1.628464e-04,3.944203e+02,1.310162e+02,
5.000000e-01,8192,8192,8192,OS2-accu-6,6.180178e+02,1.017976e-05,3.884339e+02,1.149024e+02,
5.000000e-01,8192,8192,8192,OS2-accu-7,4.656834e+01,6.362258e-07,3.891469e+02,1.017062e+02,
5.000000e-01,8192,8192,8192,OS2-accu-8,3.217447e+00,7.675204e-08,3.899850e+02,9.121027e+01,
5.000000e-01,8192,8192,8192,OS2-accu-9,3.212377e-02,4.796649e-09,3.887888e+02,8.236767e+01,
5.000000e-01,8192,8192,8192,OS2-accu-10,6.818430e-03,2.998148e-10,3.875165e+02,7.584648e+01,
5.000000e-01,8192,8192,8192,OS2-accu-11,3.909055e-04,1.874112e-11,3.918426e+02,6.877179e+01,
5.000000e-01,8192,8192,8192,OS2-accu-12,9.462089e-05,1.171761e-12,3.896425e+02,6.489901e+01,
5.000000e-01,8192,8192,8192,OS2-accu-13,6.930218e-07,7.570807e-14,3.892680e+02,5.931294e+01,
5.000000e-01,8192,8192,8192,OS2-accu-14,4.438293e-08,4.615821e-15,3.867482e+02,5.574181e+01,
5.000000e-01,8192,8192,8192,OS2-accu-15,1.607549e-08,2.025894e-16,3.886249e+02,5.218614e+01,
5.000000e-01,8192,8192,8192,OS2-accu-16,2.098904e-10,5.066933e-17,3.876184e+02,4.909056e+01,
5.000000e-01,8192,8192,8192,OS2-accu-17,6.245756e-12,4.553963e-17,3.880239e+02,4.631414e+01,
5.000000e-01,8192,8192,8192,OS2-accu-18,1.318670e-13,4.546761e-17,3.876275e+02,4.405893e+01,
5.000000e-01,8192,8192,8192,OS2-accu-19,4.077176e-15,4.546355e-17,3.864516e+02,4.143100e+01,
5.000000e-01,8192,8192,8192,OS2-accu-20,2.063168e-15,4.545547e-17,3.836225e+02,4.012308e+01,
5.000000e-01,16384,16384,16384,INT8-GEMM,,,2.974342e+02,1.463944e+03,
5.000000e-01,16384,16384,16384,DGEMM,8.528938e-05,3.507486e-15,3.967376e+02,4.524392e+01,
5.000000e-01,16384,16384,16384,OS2-fast-2,6.817508e+04,1.000000e+00,2.856160e+02,5.922231e+02,
5.000000e-01,16384,16384,16384,OS2-fast-3,1.287852e+09,2.993717e-01,3.896334e+02,2.876960e+02,
5.000000e-01,16384,16384,16384,OS2-fast-4,1.645589e+08,2.085449e-02,3.913092e+02,2.182289e+02,
5.000000e-01,16384,16384,16384,OS2-fast-5,1.462563e+07,1.312408e-03,3.924515e+02,1.757744e+02,
5.000000e-01,16384,16384,16384,OS2-fast-6,4.078064e+05,8.205693e-05,3.934512e+02,1.476224e+02,
5.000000e-01,16384,16384,16384,OS2-fast-7,4.869197e+04,5.128125e-06,3.911992e+02,1.272721e+02,
5.000000e-01,16384,16384,16384,OS2-fast-8,3.059401e+03,3.205454e-07,4.011913e+02,1.096159e+02,
5.000000e-01,16384,16384,16384,OS2-fast-9,4.033224e+01,2.003368e-08,3.915314e+02,9.940026e+01,
5.000000e-01,16384,16384,16384,OS2-fast-10,1.842457e+01,1.252029e-09,3.901355e+02,8.929021e+01,
5.000000e-01,16384,16384,16384,OS2-fast-11,4.543584e-01,7.826234e-11,3.910143e+02,8.179548e+01,
5.000000e-01,16384,16384,16384,OS2-fast-12,1.252420e-02,4.891478e-12,3.957366e+02,7.408918e+01,
5.000000e-01,16384,16384,16384,OS2-fast-13,3.195619e-04,3.055384e-13,3.916983e+02,6.856742e+01,
5.000000e-01,16384,16384,16384,OS2-fast-14,1.542754e-04,2.100727e-14,3.959503e+02,6.347006e+01,
5.000000e-01,16384,16384,16384,OS2-fast-15,4.450454e-05,2.266007e-15,3.916088e+02,5.962946e+01,
5.000000e-01,16384,16384,16384,OS2-fast-16,1.106766e-06,9.570656e-17,4.035186e+02,5.404391e+01,
5.000000e-01,16384,16384,16384,OS2-fast-17,6.850633e-08,4.614633e-17,3.922264e+02,5.255861e+01,
5.000000e-01,16384,16384,16384,OS2-fast-18,7.038997e-10,4.546738e-17,3.890602e+02,5.023877e+01,
5.000000e-01,16384,16384,16384,OS2-fast-19,4.696684e-11,4.545643e-17,3.865381e+02,4.740769e+01,
5.000000e-01,16384,16384,16384,OS2-fast-20,1.996377e-12,4.545676e-17,3.691736e+02,4.765147e+01,
5.000000e-01,16384,16384,16384,OS2-accu-2,8.700157e+09,8.241168e-01,3.613326e+02,3.133197e+02,
5.000000e-01,16384,16384,16384,OS2-accu-3,2.595380e+09,8.013033e-02,3.853881e+02,2.173637e+02,
5.000000e-01,16384,16384,16384,OS2-accu-4,9.537317e+07,5.144505e-03,3.862096e+02,1.768925e+02,
5.000000e-01,16384,16384,16384,OS2-accu-5,1.087303e+06,3.220191e-04,3.846412e+02,1.495960e+02,
5.000000e-01,16384,16384,16384,OS2-accu-6,1.677003e+05,2.012929e-05,3.879847e+02,1.271188e+02,
5.000000e-01,16384,16384,16384,OS2-accu-7,4.565485e+03,1.282093e-06,4.112977e+02,1.058617e+02,
