phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,2048,2048,2048,OS2-accu-13,7.943825e-08,3.757984e-14,3.781455e+02,4.742930e+01,
5.000000e-01,2048,2048,2048,OS2-accu-14,3.825495e-08,2.233723e-15,3.775179e+02,4.432260e+01,
5.000000e-01,2048,2048,2048,OS2-accu-15,7.279335e-10,9.418217e-17,3.800778e+02,4.162797e+01,
5.000000e-01,2048,2048,2048,OS2-accu-16,2.763511e-11,4.682043e-17,3.775875e+02,3.967387e+01,
5.000000e-01,2048,2048,2048,OS2-accu-17,6.826385e-13,4.550301e-17,3.767253e+02,3.803185e+01,
5.000000e-01,2048,2048,2048,OS2-accu-18,5.862032e-15,4.547429e-17,3.724535e+02,3.657386e+01,
5.000000e-01,2048,2048,2048,OS2-accu-19,2.193263e-16,4.548584e-17,3.686294e+02,3.397379e+01,
5.000000e-01,2048,2048,2048,OS2-accu-20,2.203968e-16,4.546164e-17,3.720959e+02,3.259550e+01,
5.000000e-01,4096,4096,4096,INT8-GEMM,,,4.924173e+02,3.345409e+03,
5.000000e-01,4096,4096,4096,DGEMM,7.080380e-08,1.753983e-15,8.802588e+02,6.791148e+01,
5.000000e-01,4096,4096,4096,OS2-fast-2,2.885624e+06,1.000000e+00,4.640923e+02,4.560220e+02,
5.000000e-01,4096,4096,4096,OS2-fast-3,3.235056e+06,1.395752e-01,5.809178e+02,2.836449e+02,
5.000000e-01,4096,4096,4096,OS2-fast-4,4.092906e+04,9.130770e-03,6.412744e+02,2.256576e+02,
5.000000e-01,4096,4096,4096,OS2-fast-5,1.050983e+04,5.725878e-04,6.586608e+02,1.877941e+02,
5.000000e-01,4096,4096,4096,OS2-fast-6,1.472173e+02,3.577596e-05,6.636124e+02,1.619410e+02,
5.000000e-01,4096,4096,4096,OS2-fast-7,2.257349e+01,2.236210e-06,6.682596e+02,1.414842e+02,
5.000000e-01,4096,4096,4096,OS2-fast-8,8.654125e-01,1.398155e-07,6.859120e+02,1.266232e+02,
5.000000e-01,4096,4096,4096,OS2-fast-9,1.514870e-01,8.737840e-09,6.925447e+02,1.137133e+02,
5.000000e-01,4096,4096,4096,OS2-fast-10,1.447611e-02,5.459746e-10,6.954390e+02,1.027658e+02,
5.000000e-01,4096,4096,4096,OS2-fast-11,3.324825e-04,3.411377e-11,6.965110e+02,9.412262e+01,
5.000000e-01,4096,4096,4096,OS2-fast-12,2.139311e-05,2.133168e-12,7.108875e+02,8.757954e+01,
5.000000e-01,4096,4096,4096,OS2-fast-13,2.835420e-06,1.331647e-13,6.923856e+02,7.920089e+01,
5.000000e-01,4096,4096,4096,OS2-fast-14,2.988413e-07,1.031907e-14,6.906415e+02,7.362898e+01,
5.000000e-01,4096,4096,4096,OS2-fast-15,2.774731e-09,9.246371e-16,6.865881e+02,6.906011e+01,
5.000000e-01,4096,4096,4096,OS2-fast-16,5.638285e-10,5.918604e-17,6.904157e+02,6.508814e+01,
5.000000e-01,4096,4096,4096,OS2-fast-17,2.670773e-12,4.567563e-17,6.849856e+02,6.199852e+01,
5.000000e-01,4096,4096,4096,OS2-fast-18,1.051019e-13,4.546625e-17,6.794360e+02,5.906516e+01,
5.000000e-01,4096,4096,4096,OS2-fast-19,3.343655e-15,4.545691e-17,6.642391e+02,5.482665e+01,
5.000000e-01,4096,4096,4096,OS2-fast-20,1.680834e-15,4.546148e-17,6.667725e+02,5.255709e+01,
5.000000e-01,4096,4096,4096,OS2-accu-2,9.017579e+06,4.790655e-01,5.324767e+02,2.702395e+02,
5.000000e-01,4096,4096,4096,OS2-accu-3,2.592564e+05,3.598866e-02,5.757562e+02,2.117166e+02,
5.000000e-01,4096,4096,4096,OS2-accu-4,1.077012e+04,2.274896e-03,6.128732e+02,1.798498e+02,
5.000000e-01,4096,4096,4096,OS2-accu-5,2.799246e+03,1.422866e-04,6.228602e+02,1.562245e+02,
5.000000e-01,4096,4096,4096,OS2-accu-6,1.133499e+02,8.913362e-06,6.398573e+02,1.359566e+02,
5.000000e-01,4096,4096,4096,OS2-accu-7,3.289622e+00,5.592658e-07,6.387361e+02,1.224209e+02,
5.000000e-01,4096,4096,4096,OS2-accu-8,2.441437e-01,3.792465e-08,6.635580e+02,1.099816e+02,
5.000000e-01,4096,4096,4096,OS2-accu-9,2.590830e-02,2.477089e-09,6.632740e+02,1.011181e+02,
5.000000e-01,4096,4096,4096,OS2-accu-10,2.648560e-03,1.547367e-10,6.678303e+02,9.280575e+01,
5.000000e-01,4096,4096,4096,OS2-accu-11,8.172977e-05,9.673185e-12,6.729763e+02,8.535745e+01,
5.000000e-01,4096,4096,4096,OS2-accu-12,7.636514e-06,6.046421e-13,6.846239e+02,8.009822e+01,
5.000000e-01,4096,4096,4096,OS2-accu-13,8.022056e-07,6.614709e-14,6.661959e+02,7.302431e+01,
5.000000e-01,4096,4096,4096,OS2-accu-14,5.552117e-08,4.020647e-15,6.668024e+02,6.821790e+01,
5.000000e-01,4096,4096,4096,OS2-accu-15,3.311892e-09,1.754370e-16,6.688418e+02,6.390070e+01,
5.000000e-01,4096,4096,4096,OS2-accu-16,1.194962e-10,4.737520e-17,6.669390e+02,6.099757e+01,
5.000000e-01,4096,4096,4096,OS2-accu-17,8.919870e-13,4.549584e-17,6.630700e+02,5.845167e+01,
5.000000e-01,4096,4096,4096,OS2-accu-18,2.998175e-14,4.546125e-17,6.583263e+02,5.553258e+01,
5.000000e-01,4096,4096,4096,OS2-accu-19,2.208855e-16,4.546508e-17,6.423073e+02,5.220594e+01,
5.000000e-01,4096,4096,4096,OS2-accu-20,2.207725e-16,4.546084e-17,6.481276e+02,5.004052e+01,
5.000000e-01,8192,8192,8192,INT8-GEMM,,,5.976640e+02,2.715172e+03,
5.000000e-01,8192,8192,8192,DGEMM,5.299420e-08,2.480181e-15,8.812928e+02,6.917358e+01,
5.000000e-01,8192,8192,8192,OS2-fast-2,1.597482e+07,1.000000e+00,5.667862e+02,6.614731e+02,
